N,Phosphorous,Potassium,Ph,Soil_Moisture,CEC,SEASON,Suitable_Label
28,66,23,5.99616119,4,33,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
32,57,18,5.695422863,5.5,32,Kharif     ,"pigeonpeas,apple,coffee"
27,56,22,5.833010958,5.5,35,Kharif     ,"banana,mothbeans,mungbean"
17,77,24,5.568456899,6.5,31,Kharif     ,"cotton,jute,coffee"
0,65,15,5.645435626,4,30,Kharif     ,"mothbeans,rice,muskmelon"
13,72,21,5.821194486,6,25,Kharif     ,"rice,muskmelon,mango"
34,60,23,5.659254981,5,27,Kharif     ,"maize,grapes,blackgram"
9,80,19,5.945465949,5.5,28,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
11,72,20,5.951177452,5.5,31,Kharif     ,"pigeonpeas,apple,coffee"
3,67,24,5.520880014,5.5,32,Kharif     ,"banana,mothbeans,mungbean"
35,69,23,5.578410206,5.5,33,Kharif     ,"lentil,pomegranate,watermelon"
3,77,25,5.608165195,5.5,36,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
23,62,19,5.609435128,5.5,39,Kharif     ,"pigeonpeas,apple,coffee"
22,71,17,5.509295379,5.5,7,Rabi       ,"banana,mothbeans,mungbean"
31,79,25,5.902033406,5.5,6,Rabi       ,"lentil,pomegranate,watermelon"
34,59,18,5.744117663,5.5,44,Rabi       ,"orange,papaye,coconut"
12,63,17,5.717143397,5.5,42,Rabi       ,"cotton,jute,coffee"
27,56,20,5.542690119,5,43,Rabi       ,"mothbeans,rice,muskmelon"
7,63,24,5.858617867,5.5,44,Rabi       ,"rice,muskmelon,mango"
24,67,22,5.618844277,5.5,42,Rabi       ,"maize,grapes,blackgram"
11,71,24,5.606620346,6.5,33,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
37,74,15,5.582178402,5,32,Rabi       ,"pigeonpeas,apple,coffee"
25,76,24,5.56503533,4,35,Rabi       ,"banana,mothbeans,mungbean"
34,66,17,5.889614577,5.5,31,Rabi       ,"lentil,pomegranate,watermelon"
20,69,15,5.934136378,5.5,30,Rabi       ,"orange,papaye,coconut"
37,65,16,5.683548308,6.5,25,Rabi       ,"cotton,jute,coffee"
18,74,15,5.70836603,4,27,Rabi       ,"mothbeans,rice,muskmelon"
4,67,25,5.948164454,6,28,Rabi       ,"rice,muskmelon,mango"
37,56,25,5.774755144,5,31,Rabi       ,"maize,grapes,blackgram"
5,59,15,5.97229163,5.5,32,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
11,61,21,5.532100554,5.5,33,Rabi       ,"pigeonpeas,apple,coffee"
22,80,20,5.669560726,5.5,36,Whole Year ,"banana,mothbeans,mungbean"
12,61,19,5.655726817,5.5,39,Whole Year ,"rice,muskmelon,mango"
5,74,21,5.591704014,5.5,7,Whole Year ,"maize,grapes,blackgram"
27,69,22,5.932323085,5.5,6,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
31,75,18,5.824208309,5.5,44,Whole Year ,"pigeonpeas,apple,coffee"
36,68,20,5.86442953,5.5,42,Whole Year ,"banana,mothbeans,mungbean"
5,65,16,5.866744372,5.5,43,Whole Year ,"lentil,pomegranate,watermelon"
32,79,15,5.706198621,5.5,44,Whole Year ,"orange,papaye,coconut"
11,78,22,5.940546818,5,42,Kharif     ,"cotton,jute,coffee"
0,55,22,5.916779289,5.5,33,Kharif     ,"mothbeans,rice,muskmelon"
14,59,15,5.779090476,5.5,32,Kharif     ,"rice,muskmelon,mango"
29,68,23,5.82738029,6.5,35,Kharif     ,"maize,grapes,blackgram"
32,68,19,5.514234138,5,31,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
17,64,17,5.662699104,4,30,Kharif     ,"pigeonpeas,apple,coffee"
13,69,19,5.86390397,5.5,25,Kharif     ,"banana,mothbeans,mungbean"
14,67,22,5.624690248,5.5,27,Kharif     ,"lentil,pomegranate,watermelon"
9,69,20,5.591560999,6.5,28,Kharif     ,"orange,papaye,coconut"
20,73,22,5.976312538,4,31,Kharif     ,"cotton,jute,coffee"
40,78,20,5.669236258,6,32,Kharif     ,"mothbeans,rice,muskmelon"
27,72,23,5.961934481,5,33,Kharif     ,"rice,muskmelon,mango"
14,67,15,5.690065688,5.5,36,Kharif     ,"maize,grapes,blackgram"
7,56,18,5.698371311,5.5,39,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
27,65,18,5.59503163,5.5,7,Kharif     ,"pigeonpeas,apple,coffee"
30,63,16,5.525904526,5.5,6,Kharif     ,"banana,mothbeans,mungbean"
37,70,25,5.819403771,5.5,44,Kharif     ,"lentil,pomegranate,watermelon"
27,63,19,5.562201934,5.5,42,Kharif     ,"orange,papaye,coconut"
22,60,24,5.630664753,5.5,43,Kharif     ,"cotton,jute,coffee"
3,72,24,6.03160778,5.5,44,Rabi       ,"mothbeans,rice,muskmelon"
40,59,23,5.269084669,5.5,42,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
33,73,23,5.985792703,5.5,33,Rabi       ,"pigeonpeas,apple,coffee"
27,57,24,6.09186275,5,32,Rabi       ,"banana,mothbeans,mungbean"
10,79,18,5.624731338,5.5,35,Rabi       ,"lentil,pomegranate,watermelon"
30,75,25,6.446091759,5.5,31,Rabi       ,"orange,papaye,coconut"
40,70,20,5.623490043,6.5,30,Rabi       ,"cotton,jute,coffee"
38,55,19,5.864623352,5,25,Rabi       ,"mothbeans,rice,muskmelon"
35,58,20,5.761702519,4,27,Rabi       ,"rice,muskmelon,mango"
38,61,21,4.696518678,5.5,28,Rabi       ,"maize,grapes,blackgram"
33,58,24,5.269504214,5.5,31,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
16,56,17,7.445444883,6.5,32,Rabi       ,"pigeonpeas,apple,coffee"
31,72,17,5.833031708,4,33,Rabi       ,"banana,mothbeans,mungbean"
16,80,20,7.339320929,6,36,Rabi       ,"lentil,pomegranate,watermelon"
27,72,17,6.347929353,5,39,Rabi       ,"orange,papaye,coconut"
40,62,19,4.697750704,5.5,7,Rabi       ,"cotton,jute,coffee"
18,58,16,4.962661422,5.5,6,Whole Year ,"mothbeans,rice,muskmelon"
3,68,16,4.964887857,5.5,44,Whole Year ,"rice,muskmelon,mango"
26,67,24,5.642813116,5.5,42,Whole Year ,"maize,grapes,blackgram"
16,70,20,5.6093956,5.5,43,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
24,63,19,4.681576043,5.5,44,Whole Year ,"pigeonpeas,apple,coffee"
9,76,25,5.70951224,5.5,42,Whole Year ,"banana,mothbeans,mungbean"
16,55,19,6.413543781,5.5,33,Whole Year ,"lentil,pomegranate,watermelon"
28,75,21,6.007508163,5.5,32,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
16,71,24,4.946369874,5.5,35,Whole Year ,"pigeonpeas,apple,coffee"
24,70,21,5.517208078,5,31,Whole Year ,"banana,mothbeans,mungbean"
38,72,21,5.902103172,5.5,30,Whole Year ,"lentil,pomegranate,watermelon"
9,66,21,5.719889876,5.5,25,Whole Year ,"orange,papaye,coconut"
34,56,17,4.548202098,6.5,27,Whole Year ,"cotton,jute,coffee"
1,76,19,6.669529416,5,28,Whole Year ,"mothbeans,rice,muskmelon"
6,69,19,4.750929218,4,31,Whole Year ,"rice,muskmelon,mango"
26,73,21,4.946263888,5.5,32,Whole Year ,"maize,grapes,blackgram"
27,61,18,5.266227032,5.5,33,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
27,71,23,7.10959773,6.5,36,Whole Year ,"pigeonpeas,apple,coffee"
36,61,21,5.617008201,4,39,Whole Year ,"banana,mothbeans,mungbean"
17,73,18,5.632353113,6,7,Whole Year ,"lentil,pomegranate,watermelon"
26,72,22,4.674941549,5,6,Whole Year ,"orange,papaye,coconut"
17,64,16,7.161797643,5.5,44,Whole Year ,"cotton,jute,coffee"
14,74,19,6.624966131,5.5,42,Kharif     ,"mothbeans,rice,muskmelon"
39,60,15,5.004074624,5.5,43,Kharif     ,"rice,muskmelon,mango"
6,66,15,6.345806011,5.5,44,Kharif     ,"maize,grapes,blackgram"
8,59,18,6.216814453,5.5,42,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
2,67,18,5.921666758,5.5,33,Kharif     ,"pigeonpeas,apple,coffee"
1,76,17,6.012719118,5.5,32,Kharif     ,"banana,mothbeans,mungbean"
16,73,19,4.684079249,5.5,35,Kharif     ,"lentil,pomegranate,watermelon"
23,75,25,7.077170002,5.5,31,Kharif     ,"cotton,jute,coffee"
32,70,20,6.208843215,5.5,30,Kharif     ,"mothbeans,rice,muskmelon"
28,59,22,7.05181629,5,25,Kharif     ,"rice,muskmelon,mango"
5,62,23,4.722222454,5.5,27,Kharif     ,"maize,grapes,blackgram"
36,67,25,6.418062652,5.5,28,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
1,66,23,4.803564468,6.5,31,Kharif     ,"pigeonpeas,apple,coffee"
24,73,20,4.608695247,5,32,Kharif     ,"banana,mothbeans,mungbean"
17,67,18,5.611510977,4,33,Kharif     ,"lentil,pomegranate,watermelon"
5,55,18,7.322097972,5.5,36,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
5,56,24,5.023115055,5.5,39,Kharif     ,"pigeonpeas,apple,coffee"
37,77,17,5.617122801,6.5,7,Kharif     ,"banana,mothbeans,mungbean"
13,73,20,5.391560418,4,6,Kharif     ,"lentil,pomegranate,watermelon"
6,63,23,5.906596905,6,44,Kharif     ,"orange,papaye,coconut"
16,77,22,6.574209678,5,42,Rabi       ,"cotton,jute,coffee"
25,64,20,4.807776749,5.5,43,Rabi       ,"mothbeans,rice,muskmelon"
34,75,24,4.760038039,5.5,44,Rabi       ,"rice,muskmelon,mango"
20,77,23,5.180271502,5.5,42,Rabi       ,maize
35,80,25,4.895927306,5.5,33,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
14,75,24,6.436160044,5.5,32,Rabi       ,"pigeonpeas,apple,coffee"
36,80,21,7.066087261,5.5,35,Rabi       ,"banana,mothbeans,mungbean"
7,77,18,6.655918078,5.5,31,Rabi       ,"lentil,pomegranate,watermelon"
29,78,25,5.982854523,5.5,30,Rabi       ,"orange,papaye,coconut"
30,60,21,5.457871273,5.5,25,Rabi       ,"cotton,jute,coffee"
20,74,16,4.759490199,5.5,27,Rabi       ,"mothbeans,rice,muskmelon"
19,57,23,7.342409555,5,28,Rabi       ,"rice,muskmelon,mango"
3,60,19,4.820788186,5.5,31,Rabi       ,"maize,grapes,blackgram"
5,77,19,6.242052013,5.5,32,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
5,68,20,5.001038726,6.5,33,Rabi       ,"pigeonpeas,apple,coffee"
37,73,21,5.560224583,5,36,Rabi       ,"banana,mothbeans,mungbean"
9,59,24,4.747352458,4,39,Whole Year ,"cotton,jute,coffee"
20,72,15,7.313517308,5.5,7,Whole Year ,"mothbeans,rice,muskmelon"
31,56,23,5.661826398,5.5,6,Whole Year ,"rice,muskmelon,mango"
0,70,21,4.672437054,6.5,44,Whole Year ,"maize,grapes,blackgram"
21,74,15,6.471862118,4,42,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
13,67,18,5.384762927,6,43,Whole Year ,"pigeonpeas,apple,coffee"
27,74,20,5.859813416,5,44,Whole Year ,"banana,mothbeans,mungbean"
29,72,24,6.962386495,5.5,42,Whole Year ,"lentil,pomegranate,watermelon"
5,68,20,6.12166671,5.5,33,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
39,57,19,6.421748487,5.5,32,Whole Year ,"pigeonpeas,apple,coffee"
22,62,16,4.828936119,5.5,35,Whole Year ,"banana,mothbeans,mungbean"
18,55,23,6.98571967,5.5,31,Whole Year ,"lentil,pomegranate,watermelon"
39,77,21,4.603563116,5.5,30,Whole Year ,"orange,papaye,coconut"
13,75,20,6.979540061,5.5,25,Whole Year ,"cotton,jute,coffee"
27,71,24,7.064973419,5.5,27,Whole Year ,"mothbeans,rice,muskmelon"
26,64,22,5.16516459,5.5,28,Whole Year ,"rice,muskmelon,mango"
23,55,16,5.111488821,5.5,31,Whole Year ,"maize,grapes,blackgram"
4,69,19,5.374358869,5,32,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
20,67,19,5.671419084,5.5,33,Whole Year ,"pigeonpeas,apple,coffee"
7,74,17,5.667419697,5.5,36,Kharif     ,"banana,mothbeans,mungbean"
17,64,18,6.07938452,6.5,39,Kharif     ,"lentil,pomegranate,watermelon"
35,71,17,6.931924963,5,7,Kharif     ,"orange,papaye,coconut"
11,72,22,6.842744374,4,6,Kharif     ,"cotton,jute,coffee"
20,60,22,6.876572503,5.5,44,Kharif     ,"mothbeans,rice,muskmelon"
10,71,18,6.151029296,5.5,42,Kharif     ,"rice,muskmelon,mango"
33,61,24,4.567446499,6.5,43,Kharif     ,"maize,grapes,blackgram"
3,49,18,3.692863601,4,44,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
22,59,23,4.371745575,6,42,Kharif     ,"pigeonpeas,apple,coffee"
36,58,25,8.399135958,5,33,Kharif     ,"banana,mothbeans,mungbean"
4,43,18,8.840656256,5.5,32,Kharif     ,"cotton,jute,coffee"
29,54,16,8.153022903,5.5,35,Kharif     ,"mothbeans,rice,muskmelon"
32,43,22,5.270749441,5.5,31,Kharif     ,"rice,muskmelon,mango"
14,55,15,8.050304395,5.5,30,Kharif     ,"maize,grapes,blackgram"
5,35,20,9.679240873,5.5,25,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
25,57,24,6.974978386,5.5,27,Kharif     ,"pigeonpeas,apple,coffee"
11,53,24,7.39389918,5.5,28,Kharif     ,"banana,mothbeans,mungbean"
40,49,17,6.68727523,5.5,31,Kharif     ,"lentil,pomegranate,watermelon"
38,56,25,7.88118645,5.5,32,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
27,43,23,5.875333778,5.5,33,Rabi       ,"pigeonpeas,apple,coffee"
24,38,22,8.202706015,5,36,Rabi       ,"banana,mothbeans,mungbean"
23,45,21,8.985348193,5.5,39,Rabi       ,"lentil,pomegranate,watermelon"
29,57,20,5.87707519,5.5,7,Rabi       ,"orange,papaye,coconut"
31,35,23,7.707595055,6.5,6,Rabi       ,"cotton,jute,coffee"
0,55,25,4.524171562,5,44,Rabi       ,"mothbeans,rice,muskmelon"
7,45,22,9.926212291,4,42,Rabi       ,"rice,muskmelon,mango"
17,58,25,6.455592696,5.5,43,Rabi       ,"maize,grapes,blackgram"
11,44,17,8.016210782,5.5,44,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
22,49,22,3.71105919,6.5,42,Rabi       ,"pigeonpeas,apple,coffee"
9,51,19,5.49091063,4,33,Rabi       ,"banana,mothbeans,mungbean"
28,48,15,9.254089438,6,32,Rabi       ,"lentil,pomegranate,watermelon"
26,50,19,6.005242945,5,35,Rabi       ,"orange,papaye,coconut"
36,56,20,7.437078236,5.5,31,Rabi       ,"cotton,jute,coffee"
8,60,18,3.808429173,5.5,30,Rabi       ,"mothbeans,rice,muskmelon"
24,37,21,5.818219385,5.5,25,Whole Year ,"rice,muskmelon,mango"
22,43,24,4.52363558,5.5,27,Whole Year ,"maize,grapes,blackgram"
36,43,24,3.510404312,5.5,28,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
22,44,24,6.030447288,5.5,31,Whole Year ,"pigeonpeas,apple,coffee"
17,43,22,5.498340808,5.5,32,Whole Year ,"banana,mothbeans"
8,45,15,4.61136408,5.5,33,Whole Year ,"cotton,jute,coffee"
7,56,23,5.545219232,5.5,36,Whole Year ,"mothbeans,rice,muskmelon"
36,57,16,8.292875734,5.5,39,Whole Year ,"rice,muskmelon,mango"
11,45,19,3.828031463,5,7,Kharif     ,"maize,grapes,blackgram"
6,36,22,8.869532817,5.5,6,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
17,57,20,3.793575185,5.5,44,Kharif     ,"pigeonpeas,apple,coffee"
4,47,20,4.193189124,6.5,42,Kharif     ,"banana,mothbeans,mungbean"
9,49,16,7.661537348,5,43,Kharif     ,"lentil,pomegranate,watermelon"
25,51,24,9.392694614,4,44,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
36,44,21,4.516154055,5.5,42,Kharif     ,"pigeonpeas,apple,coffee"
21,38,20,5.794289715,5.5,33,Kharif     ,"banana,mothbeans,mungbean"
37,57,20,7.354286985,6.5,32,Kharif     ,"lentil,pomegranate,watermelon"
32,48,18,5.993513566,4,35,Kharif     ,"orange,papaye,coconut"
29,44,20,8.620107545,6,31,Kharif     ,"cotton,jute,coffee"
25,51,18,9.45949344,5,30,Kharif     ,"mothbeans,rice,muskmelon"
10,44,24,8.0344125,5.5,25,Kharif     ,"rice,muskmelon,mango"
23,35,18,5.414492777,5.5,27,Kharif     ,"maize,grapes"
9,60,23,6.276004336,5.5,28,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
3,58,21,9.160691747,5.5,31,Kharif     ,"pigeonpeas,apple,coffee"
22,42,22,7.887658711,5.5,32,Kharif     ,"banana,mothbeans,mungbean"
12,39,21,8.183844843,5.5,33,Rabi       ,"lentil,pomegranate,watermelon"
39,36,22,9.072011412,5.5,36,Rabi       ,"orange,papaye,coconut"
32,41,16,7.702287236,5.5,39,Rabi       ,"cotton,jute,coffee"
30,41,15,5.88509677,5.5,7,Rabi       ,"mothbeans,rice,muskmelon"
19,36,22,6.16496284,5.5,6,Rabi       ,"rice,muskmelon,mango"
4,46,15,3.504752314,5,44,Rabi       ,"maize,grapes,blackgram"
21,39,20,7.388007483,5.5,42,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
35,57,25,8.340398059,5.5,43,Rabi       ,"pigeonpeas,apple,coffee"
22,55,24,8.66077954,6.5,44,Rabi       ,"banana,mothbeans,mungbean"
35,51,17,3.558822825,5,42,Rabi       ,"rice,muskmelon,mango"
17,56,17,5.9565851,4,33,Rabi       ,"maize,grapes,blackgram"
28,57,17,9.416003106,5.5,32,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
22,36,16,8.18422855,5.5,35,Rabi       ,"pigeonpeas,apple,coffee"
11,41,19,5.131779302,6.5,31,Rabi       ,"banana,mothbeans,mungbean"
38,38,18,6.294130313,4,30,Rabi       ,"lentil,pomegranate,watermelon"
23,37,24,7.991902443,6,25,Whole Year ,"orange,papaye,coconut"
25,35,20,8.923095695,5,27,Whole Year ,"cotton,jute,coffee"
40,45,20,6.878498176,5.5,28,Whole Year ,"mothbeans,rice,muskmelon"
23,58,19,5.243634849,5.5,31,Whole Year ,"rice,muskmelon,mango"
2,56,23,7.550090941,5.5,32,Whole Year ,"maize,grapes,blackgram"
3,56,17,8.709291688,5.5,33,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
26,51,25,7.792508068,5.5,36,Whole Year ,"pigeonpeas,apple,coffee"
39,42,20,8.055908858,5.5,39,Whole Year ,"banana,mothbeans"
27,59,20,4.397698806,5.5,7,Whole Year ,"lentil,pomegranate,watermelon"
24,45,19,5.952384957,5.5,6,Kharif     ,"orange,papaye,coconut"
7,40,17,8.532078733,5.5,44,Kharif     ,"cotton,jute,coffee"
15,45,23,7.224193642,5.5,42,Kharif     ,"mothbeans,rice,muskmelon"
26,52,23,4.931890506,5,43,Kharif     ,"rice,muskmelon,mango"
20,45,16,4.626212446,5.5,44,Kharif     ,"maize,grapes,blackgram"
34,54,24,5.026003659,5.5,42,Kharif     ,chickpea
19,51,25,3.5253661,6.5,33,Kharif     ,"pigeonpeas,apple,coffee"
29,41,21,8.86979671,5,32,Kharif     ,"banana,mothbeans,mungbean"
20,50,22,9.406887533,4,35,Kharif     ,"lentil,pomegranate,watermelon"
11,40,23,5.80428611,5.5,31,Kharif     ,"orange,papaye,coconut"
15,54,15,8.35495812,5.5,30,Kharif     ,"cotton,jute,coffee"
35,55,22,8.634929739,6.5,25,Kharif     ,"mothbeans,rice,muskmelon"
9,59,25,7.699200949,4,27,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
40,45,18,5.261285926,6,28,Whole Year ,"pigeonpeas,apple,coffee"
35,38,19,9.112771682,5,31,Whole Year ,"banana,mothbeans,mungbean"
14,58,17,4.605700542,5.5,32,Whole Year ,"lentil,pomegranate,watermelon"
40,55,18,7.115994051,5.5,33,Whole Year ,"orange,papaye,coconut"
18,36,23,7.214078621,5.5,36,Whole Year ,"cotton,jute,coffee"
35,52,15,9.93509073,5.5,39,Whole Year ,"mothbeans,rice,muskmelon"
4,59,22,8.914074888,5.5,7,Kharif     ,"rice,muskmelon,mango"
22,51,16,8.639586199,5.5,6,Kharif     ,"maize,grapes,blackgram"
33,47,17,8.621514073,5.5,44,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
2,51,17,5.838508699,5.5,42,Whole Year ,"pigeonpeas,apple,coffee"
16,51,21,3.532008668,5.5,43,Whole Year ,"banana,mothbeans,mungbean"
19,55,20,7.18530147,5.5,44,Whole Year ,"lentil,pomegranate,watermelon"
8,54,20,7.034214276,5,42,Whole Year ,"orange,papaye,coconut"
36,55,20,6.635968698,5.5,33,Whole Year ,"cotton,jute,coffee"
10,56,16,6.828187499,5.5,32,Kharif     ,"mothbeans,rice,muskmelon"
22,56,17,6.89077995,6.5,35,Whole Year ,"rice,muskmelon,mango"
9,57,24,7.165121109,5,31,Whole Year ,"maize,grapes,blackgram"
34,59,23,6.935804256,4,30,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
31,51,25,7.196774236,5.5,25,Whole Year ,"pigeonpeas,apple,coffee"
0,49,18,6.990095452,5.5,27,Whole Year ,"banana,mothbeans,mungbean"
21,39,20,7.064782138,6.5,28,Whole Year ,"lentil,pomegranate,watermelon"
28,35,22,7.156563094,4,31,Whole Year ,"chickpea,kidneybeans"
17,52,17,6.364967184,6,32,Whole Year ,"pigeonpeas,apple,coffee"
24,42,23,6.428054409,5,33,Kharif     ,"banana,mothbeans,mungbean"
28,46,16,6.664187809,5.5,36,Whole Year ,"lentil,pomegranate,watermelon"
21,38,21,6.637677489,5.5,39,Whole Year ,"orange,papaye,coconut"
34,60,25,6.79385576,5.5,7,Whole Year ,"cotton,jute,coffee"
19,53,22,6.852884643,5.5,6,Whole Year ,"mothbeans,rice,muskmelon"
31,58,15,7.121571293,5.5,44,Whole Year ,"rice,muskmelon,mango"
19,35,24,6.883308033,5.5,42,Whole Year ,"maize,grapes,blackgram"
24,53,17,6.421271178,5.5,43,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
13,47,20,6.54450214,5.5,44,Whole Year ,"pigeonpeas,apple,coffee"
31,53,16,6.452006451,5.5,42,Kharif     ,"banana,mothbeans,mungbean"
28,45,23,6.489259136,5.5,33,Whole Year ,"lentil,pomegranate,watermelon"
31,37,21,6.713410626,5,32,Whole Year ,"orange,papaye,coconut"
33,60,15,6.510840928,5.5,35,Whole Year ,"cotton,jute,coffee"
34,45,21,6.287380117,5.5,31,Whole Year ,"mothbeans,rice,muskmelon"
13,57,25,6.86308576,6.5,30,Whole Year ,"rice,muskmelon,mango"
33,57,17,6.78415271,5,25,Whole Year ,"maize,grapes,blackgram"
32,57,22,6.769415888,4,27,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
23,59,25,6.320768488,5.5,28,Whole Year ,"pigeonpeas,apple,coffee"
35,41,18,6.705008504,5.5,31,Kharif     ,"banana,mothbeans,mungbean"
6,48,24,6.790736339,6.5,32,Whole Year ,"lentil,pomegranate,watermelon"
29,36,25,7.130278657,4,33,Whole Year ,"cotton,jute,coffee"
4,36,22,7.012740397,6,36,Whole Year ,"mothbeans,rice,muskmelon"
10,59,22,7.155685016,5,39,Whole Year ,"rice,muskmelon,mango"
14,48,21,6.991242362,5.5,7,Whole Year ,"maize,grapes,blackgram"
8,50,21,6.218923893,5.5,6,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
20,40,15,7.199495368,5.5,44,Whole Year ,"pigeonpeas,apple,coffee"
36,43,22,6.389882166,5.5,42,Whole Year ,"banana,mothbeans,mungbean"
14,57,15,6.623438282,5.5,43,Whole Year ,"lentil,pomegranate,watermelon"
11,60,23,7.033012777,5.5,44,Whole Year ,chickpea
10,59,15,6.32400451,5.5,42,Whole Year ,"pigeonpeas,apple,coffee"
7,60,25,6.397636709,5.5,33,Whole Year ,"banana,mothbeans,mungbean"
2,47,15,6.401455706,5.5,32,Whole Year ,lentil
20,45,22,6.904587016,5.5,35,Whole Year ,"orange,papaye"
2,39,15,6.478557136,5,31,Whole Year ,"cotton,jute,coffee"
27,40,24,7.063022095,5.5,30,Whole Year ,"mothbeans,rice,muskmelon"
35,48,15,6.981758362,5.5,25,Whole Year ,"rice,muskmelon,mango"
4,59,25,6.227134139,6.5,27,Whole Year ,"maize,grapes,blackgram"
1,48,24,6.232836962,5,28,Autumn     ,"chickpea,kidneybeans,pigeonpeas"
36,43,21,7.140437859,4,31,Autumn     ,"pigeonpeas,apple,coffee"
11,46,24,6.459252023,5.5,32,Rabi       ,"banana,mothbeans,mungbean"
34,47,19,6.568795404,5.5,33,Rabi       ,"lentil,pomegranate,watermelon"
21,44,18,7.12851089,6.5,36,Rabi       ,"orange,papaye,coconut"
17,58,20,6.42937879,4,39,Rabi       ,"cotton,jute,coffee"
25,40,21,6.248900919,6,7,Rabi       ,"mothbeans,rice,muskmelon"
2,38,18,6.619891498,5,6,Rabi       ,"rice,muskmelon,mango"
9,48,20,6.377568542,5.5,44,Rabi       ,"maize,grapes,blackgram"
37,49,25,6.415459592,5.5,42,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
36,38,15,6.320662012,5.5,43,Rabi       ,"pigeonpeas,apple,coffee"
40,58,15,6.978400282,5.5,44,Rabi       ,"banana,mothbeans,mungbean"
30,44,16,6.442335593,5.5,42,Whole Year ,"cotton,jute,coffee"
1,59,23,7.184398832,5.5,33,Whole Year ,"mothbeans,rice,muskmelon"
9,48,22,6.402926221,5.5,32,Whole Year ,"rice,muskmelon,mango"
14,41,17,7.085982325,5.5,35,Kharif     ,"maize,grapes,blackgram"
35,52,19,6.698574085,5.5,31,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
31,48,17,6.594739424,5.5,30,Kharif     ,"pigeonpeas,apple,coffee"
4,41,20,6.647965508,5,25,Whole Year ,"banana,mothbeans,mungbean"
30,37,25,7.120032489,5.5,27,Whole Year ,"lentil,pomegranate,watermelon"
9,35,20,6.91380932,5.5,28,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
20,41,20,7.073048264,6.5,31,Whole Year ,"pigeonpeas,apple,coffee"
37,50,23,6.5304707,5,32,Whole Year ,"banana,mothbeans,mungbean"
34,35,21,6.684381357,4,33,Whole Year ,"lentil,pomegranate,watermelon"
14,37,15,6.581351374,5.5,36,Whole Year ,"orange,papaye,coconut"
23,39,22,6.86483915,5.5,39,Whole Year ,"cotton,jute,coffee"
5,45,21,6.487124217,6.5,7,Kharif     ,"mothbeans,rice,muskmelon"
22,37,20,6.605733068,4,6,Kharif     ,"rice,muskmelon,mango"
40,51,17,6.860602782,6,44,Kharif     ,"maize,grapes,blackgram"
27,56,20,6.41874299,5,42,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
31,40,22,6.365513634,5.5,43,Whole Year ,"pigeonpeas,apple,coffee"
38,36,21,6.556372966,5.5,44,Whole Year ,"banana,mothbeans,mungbean"
6,37,17,6.760694228,5.5,42,Whole Year ,"lentil,pomegranate,watermelon"
6,47,18,6.715276663,5.5,33,Whole Year ,"orange,papaye,coconut"
24,44,17,6.666380512,5.5,32,Kharif     ,"cotton,jute,coffee"
25,59,19,6.626629798,5.5,35,Whole Year ,"mothbeans,rice,muskmelon"
32,56,21,6.702772465,5.5,31,Whole Year ,"rice,muskmelon,mango"
8,45,18,7.011030515,5.5,30,Whole Year ,"maize,grapes,blackgram"
